"","ï..Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","Q21A","country","TIPI1","TIPI2","TIPI3","TIPI4","TIPI5","TIPI6","TIPI7","TIPI8","TIPI9","TIPI10","VCL3","VCL6","VCL12","gender","age","Extraversion","Agreeableness","Conscientiousness","Emotional","Openness","education","urban","race"
"1",3,2,3,4,3,2,4,4,4,3,3,4,4,3,4,3,4,4,4,4,3,"MY",2,3,3,2,5,3,5,2,3,5,0,0,0,2,19,5,8,5,5,10,3,2,10
"2",1,1,2,1,2,1,1,3,1,2,1,2,1,3,1,2,2,1,1,2,2,"US",2,7,6,7,7,1,7,6,6,1,0,0,0,2,20,3,14,12,13,8,2,3,70
"3",3,1,2,2,3,3,1,3,4,1,3,3,4,3,3,1,3,3,1,3,1,"US",1,1,5,1,1,2,5,4,1,5,0,0,0,2,19,3,6,9,2,6,2,2,60
"4",1,2,2,1,4,3,1,1,1,2,3,1,3,4,1,2,2,4,1,4,2,"US",2,6,5,4,6,1,4,2,3,2,0,0,0,2,19,3,10,7,7,8,2,3,50
"5",2,2,2,2,4,4,1,2,3,2,3,2,3,3,3,3,2,2,1,3,1,"EC",1,3,5,2,3,2,5,5,3,3,0,0,0,2,19,3,8,10,5,6,2,3,70
"6",3,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,"US",1,2,6,2,5,1,1,1,4,1,0,0,0,2,19,2,3,7,6,6,2,3,70
"7",2,2,1,1,2,2,1,3,2,1,3,3,1,1,1,1,1,2,1,1,1,"US",6,7,2,0,5,2,7,2,1,7,0,0,0,2,42,8,14,4,1,12,3,3,60
"8",1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,"ES",7,3,7,7,7,1,7,1,7,7,0,0,0,2,43,8,10,8,14,14,3,3,60
"9",1,2,1,1,1,1,2,2,2,1,2,1,3,2,2,1,1,2,2,1,1,"ID",6,3,3,3,6,3,5,4,4,4,0,0,0,2,25,9,8,7,7,10,4,3,70
"10",3,1,1,2,4,2,1,2,1,1,2,4,1,1,1,2,1,1,3,1,1,"DO",4,2,5,2,6,4,4,6,3,6,0,0,0,2,24,8,6,11,5,12,3,1,60
"11",2,1,3,3,4,1,1,2,2,3,1,2,2,2,1,3,4,3,2,2,4,"DO",3,2,3,4,4,1,3,4,3,5,0,0,0,2,24,4,5,7,7,9,3,2,70
"12",2,2,3,1,2,2,2,2,3,2,2,2,4,4,2,1,2,4,2,3,1,"MY",3,3,6,2,6,1,6,3,5,2,0,0,0,2,23,4,9,9,7,8,4,3,10
"13",3,1,1,1,2,2,1,2,2,1,3,3,1,3,2,3,1,3,3,2,1,"DE",5,2,4,3,7,2,5,7,4,6,0,0,0,2,27,7,7,11,7,13,3,3,60
"14",3,3,2,2,3,4,3,3,3,3,3,4,2,1,4,2,2,1,3,3,2,"GB",2,3,4,1,4,2,4,4,3,1,0,0,0,2,20,4,7,8,4,5,3,3,60
"15",4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,3,2,4,4,4,"IN",1,7,4,1,4,1,7,4,1,4,0,0,0,2,37,2,14,8,2,8,4,2,10
"16",1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,"US",3,4,7,6,6,1,7,7,6,3,0,0,0,2,41,4,11,14,12,9,2,3,30
"17",2,1,2,1,4,1,2,3,1,1,1,3,2,1,2,1,1,2,2,1,1,"US",3,3,6,2,7,6,6,2,3,6,0,0,0,2,19,9,9,8,5,13,2,2,10
"18",2,2,2,1,3,4,2,3,1,2,4,2,4,1,3,2,3,4,2,2,3,"US",4,3,7,1,4,1,7,7,1,3,0,0,0,2,28,5,10,14,2,7,2,2,70
"19",1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"US",0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,2,3,70
"20",3,1,3,1,3,2,1,2,1,4,1,3,3,3,3,3,4,1,1,1,2,"CA",6,5,6,6,7,6,7,5,7,3,0,0,0,2,23,12,12,11,13,10,3,2,10
"21",1,1,2,3,2,2,2,3,3,2,1,3,1,2,1,2,1,3,2,2,2,"MK",2,2,3,1,2,2,6,2,3,3,0,0,0,2,36,4,8,5,4,5,2,1,60
"22",2,1,1,4,2,3,1,1,1,2,2,3,2,1,2,1,1,1,3,2,2,"PT",6,3,3,1,7,6,6,3,2,4,0,0,0,2,25,12,9,6,3,11,3,3,60
"23",2,3,3,1,4,3,1,3,3,4,3,2,4,1,1,4,3,3,1,2,3,"US",2,4,6,2,6,4,7,6,5,6,0,0,0,2,34,6,11,12,7,12,3,3,60
"24",3,3,2,2,3,3,2,3,4,2,3,4,4,2,3,3,2,3,3,1,3,"GB",2,5,3,3,5,4,5,1,3,7,0,0,0,2,19,6,10,4,6,12,2,3,60
"25",2,1,1,1,2,3,1,2,1,1,3,1,3,2,2,2,2,2,1,1,2,"US",6,5,6,5,7,3,6,6,4,6,0,0,0,2,22,9,11,12,9,13,3,1,60
"26",2,1,4,1,3,2,3,3,2,1,2,1,4,4,2,4,2,4,2,1,3,"US",3,3,6,1,5,1,1,3,2,3,0,0,0,2,40,4,4,9,3,8,3,3,60
"27",1,1,2,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1,2,1,"US",6,6,6,6,5,3,6,3,6,3,0,0,0,2,36,9,12,9,12,8,2,3,60
"28",4,4,4,4,4,3,1,3,3,4,3,4,3,2,4,4,4,2,4,4,4,"US",5,3,3,1,5,2,7,2,2,2,0,0,0,2,21,7,10,5,3,7,2,2,10
"29",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"US",1,5,1,1,2,1,6,2,1,4,0,0,0,2,20,2,11,3,2,6,2,2,60
"30",2,3,2,1,2,2,4,1,3,2,3,3,2,2,2,3,3,1,1,1,3,"US",1,4,6,4,2,1,1,4,3,5,0,0,0,2,23,2,5,10,7,7,2,2,60
"31",1,2,2,2,1,1,1,1,3,1,1,2,1,2,1,1,1,1,3,1,1,"RS",7,4,7,3,7,6,6,5,6,6,0,0,0,2,42,13,10,12,9,13,3,3,60
"32",4,4,3,2,3,3,1,3,2,3,4,1,4,3,2,3,3,4,2,1,2,"GB",6,0,4,3,5,6,7,6,4,6,0,0,0,2,19,12,7,10,7,11,3,1,60
"33",4,3,4,4,4,2,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,"GB",1,4,7,1,5,3,6,5,1,7,0,0,0,2,36,4,10,12,2,12,2,3,60
"34",3,1,4,1,3,4,1,4,4,4,4,4,3,2,3,4,4,3,1,3,1,"IT",1,2,4,1,5,1,6,3,1,5,0,0,0,2,27,2,8,7,2,10,4,2,60
"35",3,1,3,1,2,3,2,2,3,2,2,3,2,1,3,1,3,1,2,3,2,"GB",5,2,5,2,6,2,6,5,3,6,0,0,0,2,23,7,8,10,5,12,3,3,60
"36",3,3,4,1,2,4,1,1,1,2,4,2,2,3,3,4,2,4,1,2,2,"US",1,1,7,1,5,1,5,6,2,6,0,0,0,2,19,2,6,13,3,11,2,3,60
"37",3,4,2,2,2,2,3,3,2,3,3,2,1,4,2,3,2,2,1,2,2,"US",1,1,5,2,5,7,7,3,2,3,0,0,0,2,35,8,8,8,4,8,3,1,60
"38",3,2,1,2,2,3,1,2,4,2,3,3,2,2,3,1,1,3,3,4,1,"DE",5,3,2,2,4,2,5,3,2,6,0,0,0,2,21,7,8,5,4,10,2,2,60
"39",2,1,1,1,1,3,1,3,2,2,2,1,2,1,1,3,2,2,2,2,2,"US",2,6,4,3,4,2,6,3,3,3,0,0,0,2,21,4,12,7,6,7,2,3,10
"40",4,4,3,1,4,2,1,3,4,4,3,3,4,3,3,3,3,4,3,2,2,"US",7,7,3,3,5,7,7,2,2,7,0,0,0,2,42,14,14,5,5,12,2,2,60
"41",4,1,1,1,4,2,4,4,2,2,2,3,2,2,2,2,2,3,3,2,1,"US",4,3,6,4,4,3,6,4,4,5,0,0,0,2,29,7,9,10,8,9,4,3,60
"42",2,1,1,1,2,3,1,2,2,1,3,2,2,2,1,1,1,2,1,1,1,"US",4,3,7,4,6,6,5,6,5,6,0,0,0,2,33,10,8,13,9,12,2,2,70
"43",2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,"MY",4,2,7,1,5,2,6,2,6,2,0,0,0,2,29,6,8,9,7,7,4,2,10
"44",1,2,1,1,4,2,1,2,1,1,3,1,2,2,1,1,3,2,1,1,2,"NONE",2,3,3,4,2,4,2,7,3,5,0,0,0,2,30,6,5,10,7,7,3,2,60
"45",2,1,2,1,3,1,1,2,2,1,2,2,2,1,1,3,1,1,2,2,2,"US",2,5,5,5,6,1,7,4,5,6,0,0,0,2,25,3,12,9,10,12,3,3,70
"46",3,1,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,"US",1,6,3,1,3,1,6,3,2,5,0,0,0,2,27,2,12,6,3,8,1,1,60
"47",2,1,2,1,2,2,1,3,1,2,2,3,1,1,1,2,2,2,3,1,2,"AU",5,7,6,2,6,5,6,4,3,6,0,0,0,2,40,10,13,10,5,12,3,3,10
"48",1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,2,4,1,2,1,"ID",6,2,5,2,7,3,7,5,2,7,0,0,0,2,21,9,9,10,4,14,2,3,10
"49",2,1,1,1,2,2,2,3,1,1,3,1,1,2,2,1,2,1,1,3,1,"PH",3,4,3,2,5,6,6,2,4,3,0,0,0,2,19,9,10,5,6,8,3,2,10
"50",4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,4,"ID",5,1,7,1,6,4,4,4,3,6,0,0,0,2,21,9,5,11,4,12,3,2,60
"51",3,2,1,1,4,3,2,3,3,2,2,2,2,2,3,2,3,1,1,3,1,"PH",3,3,3,2,6,6,6,2,4,3,0,0,0,2,19,9,9,5,6,9,3,2,10
"52",3,1,2,1,3,3,1,4,4,2,4,4,3,1,2,2,1,3,1,3,1,"GB",1,1,1,1,1,3,6,6,1,7,0,0,0,2,21,4,7,7,2,8,2,2,60
