"","ï..Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","Q21A","country","TIPI1","TIPI2","TIPI3","TIPI4","TIPI5","TIPI6","TIPI7","TIPI8","TIPI9","TIPI10","VCL3","VCL6","VCL12","gender","age","Extraversion","Agreeableness","Conscientiousness","Emotional","Openness","education","urban","race"
"1",3,4,1,2,3,1,2,3,4,1,2,1,1,1,3,2,4,3,1,1,1,"EE",5,6,5,3,2,2,7,2,6,6,0,0,0,1,31,7,13,7,9,8,4,2,60
"2",2,3,2,1,3,2,1,2,1,2,2,2,4,1,3,2,2,2,2,1,2,"AU",2,4,3,3,5,2,5,1,3,4,0,0,0,1,20,4,9,4,6,9,2,1,60
"3",3,2,3,1,2,3,1,3,3,2,2,4,3,2,3,2,3,4,3,4,3,"US",5,2,4,2,6,2,5,5,2,4,0,0,0,1,19,7,7,9,4,10,2,2,70
"4",1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,"NONE",5,2,6,6,7,4,3,3,5,6,0,0,0,1,26,9,5,9,11,13,2,3,60
"5",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,"NO",1,3,6,6,4,2,2,6,6,2,0,0,0,1,23,3,5,12,12,6,2,2,60
"6",4,4,4,4,4,1,4,1,4,4,2,4,4,4,4,4,3,3,1,4,3,"IN",5,6,1,6,7,2,6,1,4,5,0,0,0,1,20,7,12,2,10,12,2,3,10
"7",3,1,2,1,3,1,1,3,1,2,1,1,1,1,1,2,2,1,1,1,1,"US",6,3,4,7,6,7,3,3,7,6,0,0,0,1,21,13,6,7,14,12,2,2,60
"8",2,1,2,3,4,2,2,3,2,3,3,2,3,2,2,3,3,3,1,2,2,"US",2,3,1,2,4,2,6,3,4,4,0,0,0,1,40,4,9,4,6,8,2,2,60
"9",2,2,3,1,3,1,1,3,3,4,2,1,3,1,1,2,4,1,1,1,4,"US",1,7,4,7,4,2,2,2,4,1,0,0,0,1,28,3,9,6,11,5,3,3,30
"10",1,1,3,1,4,2,1,3,1,1,2,1,4,1,1,3,3,2,1,1,3,"US",1,7,1,2,6,1,5,4,1,4,0,0,0,1,46,2,12,5,3,10,4,2,60
"11",1,1,2,1,4,2,1,1,1,4,1,1,4,1,1,2,4,3,1,2,3,"US",6,2,3,3,7,5,6,5,3,3,0,0,0,1,57,11,8,8,6,10,3,2,60
"12",4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"US",1,7,7,3,4,1,7,7,7,4,0,0,0,1,26,2,14,14,10,8,4,3,60
"13",1,1,2,1,4,2,1,2,2,1,1,2,3,4,3,3,3,1,2,1,1,"AR",1,5,4,3,6,1,5,3,3,3,0,0,0,1,19,2,10,7,6,9,2,3,70
"14",2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,"US",5,6,7,6,5,1,6,6,6,4,0,0,0,1,43,6,12,13,12,9,3,2,10
"15",1,1,1,1,4,2,1,1,3,3,3,2,2,3,1,3,4,2,4,4,1,"HU",2,6,3,2,6,2,2,6,2,2,0,0,0,1,21,4,8,9,4,8,2,3,30
"16",2,2,2,2,2,1,1,2,2,2,1,2,1,4,3,2,2,1,2,3,2,"IN",5,1,1,4,5,3,6,2,1,7,0,0,0,1,24,8,7,3,5,12,4,2,10
"17",2,1,1,1,2,1,1,2,1,1,1,3,2,1,1,2,1,2,1,1,1,"CZ",6,4,6,5,5,3,3,6,6,5,0,0,0,1,44,9,7,12,11,10,3,3,60
