"","ï..Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","Q21A","Extraversion","Agreeableness","Conscientiousness","Emotional","Openness"
"ï..Q1A",0,0,0.0577987729017072,0.0020408996956941,0.0429401547480116,0.0379234627049293,0,0.312019687960848,0,0.0071456937202243,0.166241124198938,0.0232427415144879,0.0846031296917828,0.0953242471101338,0.0300381648056001,0.0206639404417525,0,0.0463635757453691,0.0444311703094378,0,0,0,0,0.00605626110402213,-0.0287832027210586,0.0114965395772346
"Q2A",0,0,0,0.138627306312172,0,0.0231413801661986,0.0747941269683225,0,0.0724767112995704,0,0,0,0.0100332056119567,0.0218927144811316,0,0.0053473287415428,0.0268218225091549,0.0424916818669831,0.102698144565551,0.0245477020840429,0,0.0141845171351264,0,-0.0123707976880947,0,0
"Q3A",0.0577987729017072,0,0,0.0129822077782719,0.0551956415839889,0,0,0.117390066596756,0,0.168699950319127,0,0,0.183333173817245,0.0163741489980093,0,0.261544889713628,0.0667301983541551,0,0,0.0186889951256773,0.0811912426596664,-0.0109661589695022,0,0,0,0
"Q4A",0.0020408996956941,0.138627306312172,0.0129822077782719,0,0,0,0.243279662783756,0.0374589247950466,0,0,0.0113412031277785,0.0318876107566152,0,0.0271677218907958,0.115094802453753,0,0,0,0.332810214452751,0.0512883756009931,0,0,0,0,-0.0315065801999777,0
"Q5A",0.0429401547480116,0,0.0551956415839889,0,0,0,0,0.0403662998899789,0.0140177881594384,0.085726377747482,0.0545506666937586,0,0.0811377015886596,0.0648194442525904,0,0.221483981650793,0.0289186588808705,0,0,0,0.0263804222342049,-0.0392994087577001,0,-0.139573213195795,0,0
"Q6A",0.0379234627049293,0.0231413801661986,0,0,0,0,0.0308813285011632,0.0435543946725611,0.0664760268553061,0,0.109309559732471,0.0198820485046338,0,0.136027424937602,0.0451775862116163,0,0.00930047547536812,0.187617601747269,0,0.0586489832026272,0,0.0754693847407985,-0.00783703765370737,0,-0.209042582318826,0
"Q7A",0,0.0747941269683225,0,0.243279662783756,0,0.0308813285011632,0,0,0.0494396495085793,0,0.0536582075719996,0.0827396153816281,0,0,0.110534266475421,0,0.0208002156693785,0.0326913815768833,0.112666283444914,0,0,0,0,0,-0.00457020021638813,0
"Q8A",0.312019687960848,0,0.117390066596756,0.0374589247950466,0.0403662998899789,0.0435543946725611,0,0,0,0,0.0609187896551471,0.131078830729244,0.0319094034330739,0.0134621875446472,0.10606885084544,0.0278010499332954,0,0,0,0.0362515125137589,0,0,0,0.0319618259270384,-0.059380674158418,0
"Q9A",0,0.0724767112995704,0,0,0.0140177881594384,0.0664760268553061,0.0494396495085793,0,0,0,0,0.0831208868521241,0,0.0304099211387551,0.189718297295775,0,0.0873006020844731,0.0635000500298366,0.0398468535266991,0.169796581908563,0,-0.00107465397234405,0.0529165671273083,-0.00704019398601094,-0.0576248190611243,-0.034035950076964
"Q10A",0.0071456937202243,0,0.168699950319127,0,0.085726377747482,0,0,0,0,0,0.0139688271314773,0,0.0705637041368935,0,0,0.169582791415462,0.176867852766764,0,0,0,0.335309554845321,-0.0355774735269093,0,0,0,-0.0293938334311192
